mix_path,vocals_path,duration
/UndividedWavfile/abjones_1.wav,/LyricsWav/ABJones_1_lyrics.wav,61
/UndividedWavfile/abjones_2.wav,/LyricsWav/ABJones_2_lyrics.wav,52
/UndividedWavfile/abjones_3.wav,/LyricsWav/ABJones_3_lyrics.wav,75
/UndividedWavfile/abjones_4.wav,/LyricsWav/ABJones_4_lyrics.wav,57
/UndividedWavfile/abjones_5.wav,/LyricsWav/ABJones_5_lyrics.wav,63
/UndividedWavfile/amy_1.wav,/LyricsWav/amy_1_lyrics.wav,30
/UndividedWavfile/amy_2.wav,/LyricsWav/amy_2_lyrics.wav,39
/UndividedWavfile/amy_3.wav,/LyricsWav/amy_3_lyrics.wav,31
/UndividedWavfile/amy_4.wav,/LyricsWav/amy_4_lyrics.wav,39
/UndividedWavfile/amy_5.wav,/LyricsWav/amy_5_lyrics.wav,29
/UndividedWavfile/amy_6.wav,/LyricsWav/amy_6_lyrics.wav,41
/UndividedWavfile/amy_7.wav,/LyricsWav/amy_7_lyrics.wav,29
/UndividedWavfile/amy_8.wav,/LyricsWav/amy_8_lyrics.wav,34
/UndividedWavfile/amy_9.wav,/LyricsWav/amy_9_lyrics.wav,30
/UndividedWavfile/amy_10.wav,/LyricsWav/amy_10_lyrics.wav,26
/UndividedWavfile/amy_11.wav,/LyricsWav/amy_11_lyrics.wav,30
/UndividedWavfile/amy_12.wav,/LyricsWav/amy_12_lyrics.wav,48
/UndividedWavfile/amy_13.wav,/LyricsWav/amy_13_lyrics.wav,32
/UndividedWavfile/amy_14.wav,/LyricsWav/amy_14_lyrics.wav,23
/UndividedWavfile/amy_15.wav,/LyricsWav/amy_15_lyrics.wav,43
/UndividedWavfile/amy_16.wav,/LyricsWav/amy_16_lyrics.wav,32
/UndividedWavfile/Ani_1.wav,/LyricsWav/Ani_1_lyrics.wav,42
/UndividedWavfile/Ani_2.wav,/LyricsWav/Ani_2_lyrics.wav,38
/UndividedWavfile/Ani_3.wav,/LyricsWav/Ani_3_lyrics.wav,27
/UndividedWavfile/Ani_4.wav,/LyricsWav/Ani_4_lyrics.wav,53
/UndividedWavfile/Ani_5.wav,/LyricsWav/Ani_5_lyrics.wav,38
/UndividedWavfile/annar_1.wav,/LyricsWav/annar_1_lyrics.wav,30
/UndividedWavfile/annar_2.wav,/LyricsWav/annar_2_lyrics.wav,33
/UndividedWavfile/annar_3.wav,/LyricsWav/annar_3_lyrics.wav,32
/UndividedWavfile/annar_4.wav,/LyricsWav/annar_4_lyrics.wav,44
/UndividedWavfile/annar_5.wav,/LyricsWav/annar_5_lyrics.wav,42
/UndividedWavfile/ariel_1.wav,/LyricsWav/ariel_1_lyrics.wav,32
/UndividedWavfile/ariel_2.wav,/LyricsWav/ariel_2_lyrics.wav,43
/UndividedWavfile/ariel_3.wav,/LyricsWav/ariel_3_lyrics.wav,48
/UndividedWavfile/ariel_4.wav,/LyricsWav/ariel_4_lyrics.wav,25
/UndividedWavfile/ariel_5.wav,/LyricsWav/ariel_5_lyrics.wav,35
/UndividedWavfile/bobon_1.wav,/LyricsWav/bobon_1_lyrics.wav,51
/UndividedWavfile/bobon_2.wav,/LyricsWav/bobon_2_lyrics.wav,36
/UndividedWavfile/bobon_3.wav,/LyricsWav/bobon_3_lyrics.wav,47
/UndividedWavfile/bobon_4.wav,/LyricsWav/bobon_4_lyrics.wav,41
/UndividedWavfile/bobon_5.wav,/LyricsWav/bobon_5_lyrics.wav,47
/UndividedWavfile/bug_1.wav,/LyricsWav/bug_1_lyrics.wav,42
/UndividedWavfile/bug_2.wav,/LyricsWav/bug_2_lyrics.wav,27
/UndividedWavfile/bug_3.wav,/LyricsWav/bug_3_lyrics.wav,33
/UndividedWavfile/bug_4.wav,/LyricsWav/bug_4_lyrics.wav,9
/UndividedWavfile/bug_5.wav,/LyricsWav/bug_5_lyrics.wav,62
/UndividedWavfile/davidson_1.wav,/LyricsWav/davidson_1_lyrics.wav,52
/UndividedWavfile/davidson_2.wav,/LyricsWav/davidson_2_lyrics.wav,56
/UndividedWavfile/davidson_3.wav,/LyricsWav/davidson_3_lyrics.wav,71
/UndividedWavfile/davidson_4.wav,/LyricsWav/davidson_4_lyrics.wav,48
/UndividedWavfile/davidson_5.wav,/LyricsWav/davidson_5_lyrics.wav,46
/UndividedWavfile/fdps_1.wav,/LyricsWav/fdps_1_lyrics.wav,53
/UndividedWavfile/fdps_2.wav,/LyricsWav/fdps_2_lyrics.wav,43
/UndividedWavfile/fdps_3.wav,/LyricsWav/fdps_3_lyrics.wav,30
/UndividedWavfile/fdps_4.wav,/LyricsWav/fdps_4_lyrics.wav,38
/UndividedWavfile/fdps_5.wav,/LyricsWav/fdps_5_lyrics.wav,44
/UndividedWavfile/geniusturtle_1.wav,/LyricsWav/geniusturtle_1_lyrics.wav,38
/UndividedWavfile/geniusturtle_2.wav,/LyricsWav/geniusturtle_2_lyrics.wav,69
/UndividedWavfile/geniusturtle_3.wav,/LyricsWav/geniusturtle_3_lyrics.wav,43
/UndividedWavfile/geniusturtle_4.wav,/LyricsWav/geniusturtle_4_lyrics.wav,39
/UndividedWavfile/geniusturtle_5.wav,/LyricsWav/geniusturtle_5_lyrics.wav,23
/UndividedWavfile/geniusturtle_6.wav,/LyricsWav/geniusturtle_6_lyrics.wav,49
/UndividedWavfile/geniusturtle_7.wav,/LyricsWav/geniusturtle_7_lyrics.wav,61
/UndividedWavfile/geniusturtle_8.wav,/LyricsWav/geniusturtle_8_lyrics.wav,27
/UndividedWavfile/heycat_1.wav,/LyricsWav/heycat_1_lyrics.wav,31
/UndividedWavfile/heycat_2.wav,/LyricsWav/heycat_2_lyrics.wav,30
/UndividedWavfile/heycat_3.wav,/LyricsWav/heycat_3_lyrics.wav,31
/UndividedWavfile/heycat_4.wav,/LyricsWav/heycat_4_lyrics.wav,41
/UndividedWavfile/heycat_5.wav,/LyricsWav/heycat_5_lyrics.wav,27
/UndividedWavfile/jmzen_1.wav,/LyricsWav/jmzen_1_lyrics.wav,45
/UndividedWavfile/jmzen_2.wav,/LyricsWav/jmzen_2_lyrics.wav,55
/UndividedWavfile/jmzen_3.wav,/LyricsWav/jmzen_3_lyrics.wav,33
/UndividedWavfile/jmzen_4.wav,/LyricsWav/jmzen_4_lyrics.wav,37
/UndividedWavfile/jmzen_5.wav,/LyricsWav/jmzen_5_lyrics.wav,36
/UndividedWavfile/Kenshin_1.wav,/LyricsWav/Kenshin_1_lyrics.wav,86
/UndividedWavfile/Kenshin_2.wav,/LyricsWav/Kenshin_2_lyrics.wav,62
/UndividedWavfile/Kenshin_3.wav,/LyricsWav/Kenshin_3_lyrics.wav,45
/UndividedWavfile/Kenshin_4.wav,/LyricsWav/Kenshin_4_lyrics.wav,50
/UndividedWavfile/Kenshin_5.wav,/LyricsWav/Kenshin_5_lyrics.wav,74
/UndividedWavfile/khair_1.wav,/LyricsWav/khair_1_lyrics.wav,60
/UndividedWavfile/khair_2.wav,/LyricsWav/khair_2_lyrics.wav,60
/UndividedWavfile/khair_3.wav,/LyricsWav/khair_3_lyrics.wav,60
/UndividedWavfile/khair_4.wav,/LyricsWav/khair_4_lyrics.wav,60
/UndividedWavfile/khair_5.wav,/LyricsWav/khair_5_lyrics.wav,60
/UndividedWavfile/khair_6.wav,/LyricsWav/khair_6_lyrics.wav,60
/UndividedWavfile/leon_1.wav,/LyricsWav/leon_1_lyrics.wav,61
/UndividedWavfile/leon_2.wav,/LyricsWav/leon_2_lyrics.wav,47
/UndividedWavfile/leon_3.wav,/LyricsWav/leon_3_lyrics.wav,69
/UndividedWavfile/leon_4.wav,/LyricsWav/leon_4_lyrics.wav,50
/UndividedWavfile/leon_5.wav,/LyricsWav/leon_5_lyrics.wav,51
/UndividedWavfile/leon_6.wav,/LyricsWav/leon_6_lyrics.wav,39
/UndividedWavfile/leon_7.wav,/LyricsWav/leon_7_lyrics.wav,66
/UndividedWavfile/leon_8.wav,/LyricsWav/leon_8_lyrics.wav,68
/UndividedWavfile/leon_9.wav,/LyricsWav/leon_9_lyrics.wav,42
/UndividedWavfile/stool_1.wav,/LyricsWav/stool_1_lyric.wav,60
/UndividedWavfile/stool_2.wav,/LyricsWav/stool_2_lyric.wav,43
/UndividedWavfile/stool_3.wav,/LyricsWav/stool_3_lyric.wav,57
/UndividedWavfile/stool_4.wav,/LyricsWav/stool_4_lyric.wav,49
/UndividedWavfile/stool_5.wav,/LyricsWav/stool_5_lyric.wav,67
/UndividedWavfile/tammy_1.wav,/LyricsWav/tammy_1_lyrics.wav,46
/UndividedWavfile/titon_1.wav,/LyricsWav/titon_1_lyrics.wav,54
